NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Playa La-Murry,Vigia del Fuerte,Antioquia,13.0,10.53,10.23,16.03,19.58,18.68,18.8,19.58,19.72,20.57,19.9,17.86,204.48000000000002
Cedeno,Yarumal,Antioquia,8.689,11.86,13.25,20.25,23.96,21.06,20.86,20.89,21.32,23.93,19.39,11.92,217.379
Llanos D Cuiba Los,Yarumal,Antioquia,6.206,8.413,11.82,17.79,21.0,17.2,17.93,16.89,18.82,20.44,14.89,9.965,181.364
Teresita La,Yarumal,Antioquia,12.47,14.11,16.25,24.7,27.82,24.58,24.23,24.88,25.64,27.76,21.88,16.11,260.43
Yarumal,Yarumal,Antioquia,6.32,7.24,10.53,16.37,20.4,17.7,18.51,18.11,19.46,20.74,16.48,9.461,181.32100000000003
Yolombo,Yolombo,Antioquia,5.833,8.041,8.875,15.32,16.2,13.0,13.28,14.96,17.08,17.92,13.52,9.458,153.48700000000002
Yondo,Yondo,Antioquia,2.087,3.913,6.304,9.833,10.83,8.173,7.666,10.45,12.04,13.2,9.5,4.625,98.621
Alto del Indio,Zaragoza,Antioquia,5.518,6.259,8.115,13.51,18.29,17.11,16.96,18.44,16.92,19.55,16.19,9.956,166.81799999999998
Bosque El,Zaragoza,Antioquia,6.821,7.464,8.678,14.75,19.07,16.74,16.53,18.33,18.21,20.0,17.92,11.1,175.61299999999997
Zaragoza,Zaragoza,Antioquia,5.653,6.384,7.153,11.96,17.0,15.88,16.03,18.23,15.53,18.88,17.38,9.692,159.77200000000002
Apto Arauca,Arauca,Arauca,1.29,2.225,4.2,10.58,16.51,20.93,20.36,19.23,14.9,13.0,9.225,4.419,136.86900000000003
Matezamuro,Arauca,Arauca,,,,,,,,,,,,,
Villanueva,Arauca,Arauca,,,,,,,,,,,,,
Arauquita,Arauquita,Arauca,1.653,2.423,4.72,9.384,13.92,18.52,16.25,14.58,11.68,12.73,10.91,4.625,121.395
Paraiso El,Cravo Norte,Arauca,1.2,1.866,3.4,9.866,16.86,19.8,20.64,16.92,15.66,13.26,8.666,2.8,130.93800000000002
Saravena,Saravena,Arauca,6.2,7.869,11.31,15.84,20.3,23.19,23.04,21.64,19.19,18.12,15.58,9.666,191.94500000000002
Morichal,Tame,Arauca,3.857,4.0,6.0,9.875,13.31,15.31,14.68,13.37,11.56,11.56,8.125,4.733,116.38000000000002
Sta Ines,Tame,Arauca,,,,,,,,,,,,,
Flores Las,Barranquilla,Atlantico,,,,,,,,,,,,,
Campo De La Cruz,Campo de La Cruz,Atlantico,0.947,1.0,1.947,6.631,9.578,8.421,8.684,9.947,11.21,10.84,6.105,2.578,77.888
Candelaria,Candelaria,Atlantico,,,,,,,,,,,,,
Lena,Candelaria,Atlantico,0.482,0.689,1.678,3.931,5.928,4.928,4.413,5.517,6.172,6.75,4.5,2.038,47.025999999999996
Juan de Acosta,Juan de Acosta,Atlantico,0.705,0.588,1.187,4.333,10.17,9.941,8.875,12.05,14.82,14.12,9.266,3.076,89.131
Limon El,Manati,Atlantico,0.592,1.307,2.222,6.346,12.14,11.19,9.56,12.65,12.96,13.15,8.56,3.4,94.07700000000001
Normal Manati,Manati,Atlantico,1.548,1.645,2.677,7.677,12.8,11.2,9.766,12.0,12.83,12.22,9.258,3.903,97.524
Hibacharo,Piojo,Atlantico,0.5,0.142,0.75,2.321,7.392,5.464,4.75,6.607,8.25,9.074,5.307,1.37,51.927
Piojo,Piojo,Atlantico,0.677,0.258,1.032,4.0,10.0,8.645,7.709,10.45,12.48,13.22,8.935,2.5,79.906
Polonuevo,Polonuevo,Atlantico,0.642,0.321,0.642,3.964,8.142,6.214,5.892,7.714,8.607,8.888,5.714,1.629,58.36899999999999
Ponedera,Ponedera,Atlantico,0.416,0.541,1.0,4.041,5.913,5.545,4.458,6.391,7.375,7.5,5.454,1.173,49.807
Pto Giraldo,Ponedera,Atlantico,0.315,0.35,0.894,4.473,6.65,5.95,4.85,6.15,7.95,7.526,5.157,1.684,51.949
Pto Colombia,Puerto Colombia,Atlantico,0.0,0.0,0.13,0.739,3.0,2.826,2.087,3.391,4.739,5.739,3.347,0.636,26.634
Cabecera Bartolo,Repelon,Atlantico,0.3,0.5,0.8,3.411,6.35,4.315,4.611,5.55,5.6,8.166,4.277,1.222,45.10200000000001
Cabecera El Polvar,Repelon,Atlantico,0.578,0.526,1.052,3.105,6.105,4.368,4.055,6.166,5.789,7.588,3.941,1.444,44.717000000000006
Cabecera Henequen,Repelon,Atlantico,0.25,0.75,0.812,3.058,6.647,6.125,4.687,7.411,7.352,10.12,4.812,1.312,53.33599999999999
Casa de Bombas,Repelon,Atlantico,0.333,0.684,1.0,3.157,6.777,5.894,4.842,7.555,6.894,8.562,3.823,1.0,50.520999999999994
Loma Grande,Repelon,Atlantico,1.136,0.809,1.05,3.8,6.19,5.142,4.8,6.4,6.772,8.55,4.35,1.684,50.683
Repelon,Repelon,Atlantico,1.033,0.9,1.7,6.066,11.65,11.28,8.862,12.85,14.25,15.79,9.724,3.241,97.346
Campanos Los,Sabanalarga,Atlantico,,,,,,,,,,,,,
Sabanalarga,Sabanalarga,Atlantico,1.379,1.069,1.862,5.586,9.137,7.862,6.931,9.241,10.55,10.65,7.137,2.31,73.71400000000001
Rabon El Hda,Santa Lucia,Atlantico,0.777,0.888,1.277,4.277,5.722,4.222,4.944,5.611,5.5,6.333,5.0,1.294,45.845
Sta Lucia Gja,Santa Lucia,Atlantico,1.312,1.352,2.352,7.882,12.68,10.87,10.25,12.05,13.18,13.0,9.647,4.437,99.012
Apto E Cortissoz,Soledad,Atlantico,0.451,0.193,0.483,3.645,8.806,8.741,6.967,10.22,13.32,14.54,8.354,2.161,77.881
San Pedrito Alerta,Suan,Atlantico,1.052,1.105,2.105,6.722,9.473,9.055,8.473,9.631,9.21,9.833,6.176,2.388,75.22300000000001
Usiacuri,Usiacuri,Atlantico,1.034,0.793,1.034,5.31,10.51,8.655,7.896,10.1,12.2,10.93,8.107,2.0,78.56899999999999
Acdto Bosa,Bogota DC,Bogota D.C.,,,,,,,,,,,,,
Apto Eldorado P1-2,Bogota DC,Bogota D.C.,8.178,10.75,14.06,18.17,20.1,18.31,17.24,16.34,16.31,18.44,16.65,11.96,186.508
Apto Guaymaral,Bogota DC,Bogota D.C.,8.2,10.2,12.32,16.24,19.68,17.28,15.96,15.68,14.36,17.36,17.29,11.66,176.23000000000002
Australia,Bogota DC,Bogota D.C.,7.6,11.53,14.06,19.93,26.81,26.62,28.75,25.93,22.31,22.62,18.68,12.0,236.84000000000003
Bocagrande,Bogota DC,Bogota D.C.,10.18,10.93,16.81,22.25,26.0,27.87,27.68,26.81,24.18,23.33,20.5,14.68,251.22000000000003
Cerro de Suba,Bogota DC,Bogota D.C.,7.823,12.11,15.82,16.7,18.41,16.82,14.41,14.11,14.82,19.29,17.7,12.11,180.123
Cisaca,Bogota DC,Bogota D.C.,8.75,10.76,14.57,18.52,22.71,22.23,23.71,23.33,19.28,19.9,16.42,13.28,213.46
Contador,Bogota DC,Bogota D.C.,8.562,12.53,12.53,16.12,17.81,15.68,14.62,13.87,14.06,16.31,16.31,11.5,169.90200000000002
Delirio,Bogota DC,Bogota D.C.,11.21,14.61,17.6,19.15,22.6,25.4,25.7,24.65,20.35,19.65,19.26,15.78,235.95999999999998
Eldorado Didactica,Bogota DC,Bogota D.C.,8.333,10.89,13.75,18.95,21.05,17.9,17.25,16.75,16.65,18.6,18.05,12.15,190.323
Enmanuel D Alzon,Bogota DC,Bogota D.C.,6.909,7.869,10.17,12.08,12.13,9.347,7.521,8.347,8.5,13.09,11.86,8.043,115.86599999999999
Esc La Union,Bogota DC,Bogota D.C.,6.8,10.33,12.43,16.56,21.81,21.12,24.0,21.68,15.0,16.56,15.43,9.125,190.845
Granizo,Bogota DC,Bogota D.C.,12.5,13.88,16.72,20.11,22.72,24.33,22.61,23.5,22.11,23.16,18.88,14.52,235.04000000000002
Hormona-Lab,Bogota DC,Bogota D.C.,7.562,12.62,15.18,17.87,17.37,14.87,14.37,14.81,15.68,18.12,17.12,13.43,179.00200000000004
Jardin Botanico,Bogota DC,Bogota D.C.,9.0,11.25,14.15,19.27,20.5,17.31,17.13,16.09,16.59,18.36,16.75,11.9,188.29999999999998
Lumbre La,Bogota DC,Bogota D.C.,4.052,6.0,6.947,12.21,12.1,10.1,7.789,8.842,9.789,13.58,11.52,6.0,108.929
Nazareth,Bogota DC,Bogota D.C.,6.125,10.06,12.93,16.66,22.37,21.62,23.18,21.68,16.43,16.31,12.12,7.812,187.29700000000005
Obs Met Nacional,Bogota DC,Bogota D.C.,8.95,11.5,13.71,18.09,18.63,17.09,15.47,14.0,15.52,20.5,16.22,11.33,181.01000000000002
Pasquilla,Bogota DC,Bogota D.C.,5.529,8.666,10.83,16.16,19.33,20.61,23.55,20.22,14.94,15.88,14.0,7.764,177.479
San Luis 1 Y 2,Bogota DC,Bogota D.C.,9.733,10.66,15.2,19.6,19.8,20.4,19.13,18.26,16.93,19.2,18.4,11.86,199.173
Sta Lucia,Bogota DC,Bogota D.C.,7.0,10.5,13.18,18.5,18.93,17.37,16.06,16.62,15.37,18.18,17.25,12.87,181.83
Sta Maria De Usme,Bogota DC,Bogota D.C.,5.529,8.833,11.17,14.94,17.5,18.88,20.44,19.27,13.66,15.05,15.43,8.882,169.58400000000003
Torca,Bogota DC,Bogota D.C.,8.533,11.86,12.73,15.66,17.2,16.46,15.06,14.53,13.93,16.93,15.2,10.4,168.49300000000002
Tunal El Candelari,Bogota DC,Bogota D.C.,5.687,9.062,11.31,16.25,15.81,14.25,12.62,13.43,12.62,15.06,13.62,10.46,150.17900000000003
Usaquen,Bogota DC,Bogota D.C.,6.055,8.555,9.5,11.29,13.05,11.11,11.5,10.44,9.277,12.17,12.27,7.0,122.217
Venado Oro Vivero,Bogota DC,Bogota D.C.,8.142,11.42,13.62,16.52,19.24,20.69,21.2,20.12,16.2,17.79,17.65,12.43,195.022
Verjon El,Bogota DC,Bogota D.C.,9.0,9.875,14.0,18.12,22.31,23.56,24.18,23.5,20.43,21.12,18.93,14.18,219.20500000000004
Vieja La,Bogota DC,Bogota D.C.,8.812,10.62,14.81,16.87,18.43,20.0,15.87,16.25,15.68,17.5,17.12,12.0,183.96200000000002
Vitelma,Bogota DC,Bogota D.C.,9.714,12.2,16.86,19.6,19.8,21.13,22.46,22.46,18.26,18.06,16.73,15.8,213.074
Buenavista,Achi,Bolivar,1.875,2.791,3.25,8.625,12.45,10.73,13.04,14.04,13.86,18.13,13.52,6.5,118.81099999999999
Guacamayo,Achi,Bolivar,1.266,1.344,2.551,5.31,9.275,9.633,11.43,12.26,13.72,15.56,13.53,5.448,101.327
Guaranda,Achi,Bolivar,2.0,2.9,3.903,8.903,13.74,13.54,13.67,15.45,14.7,17.16,13.3,5.766,125.03200000000001
Rionuevo,Altos del Rosario,Bolivar,1.24,1.88,2.68,7.333,11.79,8.5,9.84,11.96,14.0,14.32,12.88,4.8,101.223
Arenal,Arenal,Bolivar,0.652,1.391,3.478,7.0,10.5,8.043,6.956,9.347,10.08,11.65,6.727,1.695,77.519
Diamante El,Arenal,Bolivar,0.857,1.214,3.066,6.933,10.2,7.066,6.066,8.866,10.53,10.6,6.6,2.6,74.59799999999998
Arjona,Arjona,Bolivar,1.392,1.5,2.285,6.607,11.1,10.17,8.714,10.55,10.62,11.77,8.384,3.888,86.98
Rocha,Arjona,Bolivar,0.545,0.772,0.954,4.125,7.75,6.958,7.0,6.782,7.458,9.125,5.333,2.087,58.888999999999996
Sincerin,Arjona,Bolivar,0.894,2.105,2.894,7.833,13.55,12.94,12.05,14.82,14.58,16.52,11.6,4.687,114.473
