NOMBRE,MUNICIPIO,DEPARTAMENTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,ANUAL
Esc La Union,Bogota DC,Bogota D.C.,20.14,41.58,59.3,72.28,108.9,70.23,80.78,67.71,63.86,89.1,71.3,29.41,774.59
Granizo,Bogota DC,Bogota D.C.,49.18,65.95,79.66,134.3,129.3,84.18,70.67,73.21,73.7,144.4,129.6,81.06,1115.21
Hormona-Lab,Bogota DC,Bogota D.C.,33.94,72.24,81.37,128.1,112.8,47.16,35.67,45.73,72.49,119.7,119.5,83.24,951.94
Jardin Botanico,Bogota DC,Bogota D.C.,37.86,57.71,89.88,118.7,122.6,58.45,45.17,50.55,81.55,108.5,121.1,61.45,953.52
Lumbre La,Bogota DC,Bogota D.C.,22.0,32.21,46.28,85.4,74.19,44.96,29.53,38.54,49.65,97.34,84.53,30.9,635.53
Nazareth,Bogota DC,Bogota D.C.,21.39,46.22,67.19,97.82,173.4,149.4,165.7,128.0,85.96,95.62,53.02,34.03,1117.75
Obs Met Nacional,Bogota DC,Bogota D.C.,49.5,67.72,90.55,135.2,119.8,54.04,35.19,44.72,70.1,137.4,127.1,80.66,1011.98
Pasquilla,Bogota DC,Bogota D.C.,21.2,38.88,55.56,82.95,105.3,79.83,106.0,83.88,65.08,77.17,78.06,33.16,827.07
San Luis 1 Y 2,Bogota DC,Bogota D.C.,57.22,72.91,94.38,131.4,105.2,64.02,50.06,54.2,61.72,120.5,121.3,90.91,1023.82
Sta Lucia,Bogota DC,Bogota D.C.,22.76,34.75,50.46,99.35,84.17,54.33,36.48,46.26,53.8,95.12,79.89,39.23,696.6
Sta Maria De Usme,Bogota DC,Bogota D.C.,16.46,31.92,44.43,67.59,92.32,68.21,64.93,60.97,44.82,71.81,70.41,25.9,659.77
Torca,Bogota DC,Bogota D.C.,60.17,88.1,117.0,168.3,138.5,101.5,77.66,79.88,104.5,134.5,143.1,108.9,1322.11
Tunal El Candelari,Bogota DC,Bogota D.C.,18.19,23.67,46.18,86.15,75.28,51.81,34.86,40.05,60.03,75.26,65.47,33.83,610.78
Usaquen,Bogota DC,Bogota D.C.,79.27,110.3,108.7,161.3,108.4,72.41,62.03,64.79,58.11,126.1,144.8,78.91,1175.12
Venado Oro Vivero,Bogota DC,Bogota D.C.,62.34,67.51,105.2,127.2,118.6,68.63,70.01,70.2,66.86,118.6,142.0,94.07,1111.22
Verjon El,Bogota DC,Bogota D.C.,40.24,39.2,69.48,107.1,107.2,120.9,112.2,110.1,79.66,124.5,103.7,62.29,1076.57
Vieja La,Bogota DC,Bogota D.C.,69.02,64.91,112.2,146.1,108.8,59.1,45.35,55.38,63.82,136.2,133.4,87.91,1082.19
Vitelma,Bogota DC,Bogota D.C.,43.03,61.86,93.0,137.8,97.8,75.18,74.22,73.38,70.87,106.3,111.7,75.38,1020.52
Buenavista,Achi,Bolivar,25.89,39.6,60.38,174.2,293.0,250.8,318.0,313.5,302.2,483.5,325.0,109.9,2695.97
Guacamayo,Achi,Bolivar,33.2,46.88,77.22,166.9,345.6,358.5,394.7,424.4,502.2,650.0,470.7,184.2,3654.5
Guaranda,Achi,Bolivar,40.03,52.43,70.76,205.7,410.0,400.8,373.7,430.2,397.4,517.8,357.5,117.5,3373.82
